16,148997
72,45272
92,350476
92,276928
178,519993
287,515142
329,199158
329,260271
399,232015
448,80796
448,158327
448,362528
448,504629
486,84124
496,404176
499,175372
543,529222
566,228193
577,352650
577,196284
624,425255
624,141402
624,195042
717,156921
752,461769
792,328280
862,866
942,347343
1052,87246
1075,107650
1210,453989
1210,108160
1223,85554
1223,270690
1223,9171
1278,56466
1278,56468
1331,165773
1362,546283
1382,521383
1382,395435
1413,347640
1451,135997
1457,389377
1457,444083
1457,145550
1520,255858
1561,121905
1571,225097
1672,469121
1672,469123
1714,508091
1714,182796
1800,109721
1831,485452
1831,223276
1881,485026
2055,269808
2126,40319
2238,54830
2350,449901
2419,205925
2419,212635
2419,536769
2552,205642
2552,542309
2557,39712
2614,60629
2651,516336
2661,65544
2689,225914
2689,194427
2704,323116
2704,20145
2723,489255
2737,50734
2737,471589
2753,308657
2885,224924
2938,256866
2938,545428
2968,103782
2969,251293
2969,107647
3047,492675
3047,492674
3138,198467
3138,50236
3138,387348
3171,292994
3171,194298
3228,50141
3268,81971
3283,192011
3283,39922
3373,339002
3409,71190
3409,347529
3443,478633
3449,432888
3641,411678
3673,511233
3676,128234
3747,238852
3752,371944
3752,103912
3764,502696
3779,87029
3850,229019
3884,343906
3922,203161
3985,278778
4038,479278
4068,255103
4068,211337
4076,105909
4082,357496
4101,209025
4150,232865
4165,355293
4172,503944
4236,544129
4242,360295
4255,477695
4366,500813
4366,116328
4366,429268
4366,128271
4403,261085
4442,326541
4442,316073
4456,391763
4508,267949
4554,238804
4902,212631
4948,4950
4977,112501
4977,337420
4994,439181
5010,318410
5010,256717
5017,532789
5054,314359
5066,420645
5150,357132
5159,279347
5159,217190
5184,113198
5217,103863
5267,72587
5267,97581
5339,542080
5352,420808
5352,351205
5393,119995
5466,322241
5641,213287
5673,219270
5715,442875
5718,416457
5718,55493
5777,104198
5864,424550
5871,71936
5961,404343
5976,456512
5996,178316
5996,544675
6102,443548
6204,537032
6204,375375
6204,51126
6204,484473
6307,70217
6307,123683
6373,539263
6472,459698
6476,344841
6476,384753
6484,35229
6613,212127
6613,61445
6616,524154
6616,375221
6689,420770
6709,246565
6724,168668
6764,545271
6791,535366
6867,107243
6874,98937
6918,67302
6937,81067
6941,289054
6975,271482
6975,342450
6983,448785
6983,249912
7017,505035
7080,89945
7088,157042
7237,260788
7400,79845
7400,17487
7437,375375
7457,130130
7457,486894
7473,524050
7494,110947
7494,42948
7616,521297
7616,52552
7616,28165
7630,314477
7630,541715
7642,16064
7708,83970
7734,356738
7747,408026
7755,110389
7805,545023
7813,56322
7813,440730
7817,35319
7817,377253
7931,522226
7959,518090
7984,28512
8087,158438
8146,513392
8201,56466
8201,56468
8201,240110
8240,177869
8250,316864
8250,533909
8289,538600
8323,198204
8336,542403
8424,50070
8510,484881
8514,124116
8560,295901
8603,356365
8650,501042
8705,234214
8705,357259
8726,519886
8734,236449
8748,427598
8828,143221
8997,245665
8997,245003
9123,411083
9173,32304
9175,59558
9182,80736
9182,428233
9229,63710
9237,370983
9237,109721
9334,41406
9334,104131
9334,109922
9343,165109
9351,484146
9360,32644
9363,195271
9363,217132
9363,544259
9413,274985
9534,182765
9572,208862
9589,545473
9601,39739
9614,368143
9639,540393
9717,163811
9717,497089
9782,179472
9885,205176
9903,216068
9926,538846
9970,101653
9970,130587
9970,479326
9999,485618
10052,470394
10093,159258
10093,520929
10214,145118
10266,495958
10591,261260
10607,53587
10618,175227
10644,234450
10678,221710
10730,274007
10888,69945
10888,252543
11001,363445
11005,99515
11075,127694
11171,364826
11175,176453
11175,411829
11190,379302
11192,109155
11192,441004
11253,536116
11267,472277
11279,173068
11312,230711
11375,311102
11530,345385
11574,63534
11580,258316
11656,330802
11668,57416
11749,502667
11776,242816
11900,64304
11911,284088
12011,445991
12045,483055
12161,297653
12161,392618
12227,96805
12227,160564
12254,230388
12289,160019
12328,44802
12382,150444
12382,325240
12443,486971
12529,340094
12529,218168
12529,128204
12534,54150
12578,503056
12578,182789
12578,230107
12578,261667
12616,161961
12617,542418
12618,171046
12639,99029
12639,86034
12695,77284
12744,432915
12751,375760
12786,361504
12848,207113
12911,327491
12911,239945
12989,37895
13055,255493
13055,515548
13076,31484
13076,540641
13388,284756
13398,277495
13413,43560
13598,298938
13619,296331
13633,474814
13648,413195
13648,247927
13718,505075
13735,345034
13847,235857
13852,507406
13878,343133
